sentence_id,author,work,sentence_text,n_candidates,candidate_words,candidate_entity_types,band
s00192,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The path, as you ascend higher, is intersected by ravines of snow, down which stones continually roll from above; one of them is particularly dangerous, as the slightest sound, such as even speaking in a loud voice, produces a concussion of air sufficient to draw destruction upon the head of the speaker.",3,air; ravine; snow,LANDSCAPE; WEATHER,band_3plus
s00193,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The pines are not tall or luxuriant, but they are sombre and add an air of severity to the scene.",2,air; pine,FLORA; WEATHER,band_2
s00194,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I looked on the valley beneath; vast mists were rising from the rivers which ran through it and curling in thick wreaths around the opposite mountains, whose summits were hid in the uniform clouds, while rain poured from the dark sky and added to the melancholy impression I received from the objects around me.",5,cloud; mountain; rain; river; valley,LANDSCAPE; WEATHER,band_3plus
s00195,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Why does man boast of sensibilities superior to those apparent in the brute; it only renders them more necessary beings.,1,brute,FAUNA,band_1
s00196,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If our impulses were confined to hunger, thirst, and desire, we might be nearly free; but now we are moved by every wind that blows and a chance word or scene that that word may convey to us.",1,wind,WEATHER,band_1
s00197,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),We rest; a dream has power to poison sleep.,0,,,band_0
s00198,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),We rise; one wand’ring thought pollutes the day.,0,,,band_0
s00199,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"We feel, conceive, or reason; laugh or weep, Embrace fond woe, or cast our cares away; It is the same: for, be it joy or sorrow, The path of its departure still is free.",0,,,band_0
s00200,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Man’s yesterday may ne’er be like his morrow; Nought may endure but mutability!,0,,,band_0
s00201,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),It was nearly noon when I arrived at the top of the ascent.,1,ascent,LANDSCAPE,band_1
s00202,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),For some time I sat upon the rock that overlooks the sea of ice.,1,sea,LANDSCAPE,band_1
s00203,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),A mist covered both that and the surrounding mountains.,1,mountain,LANDSCAPE,band_1
s00204,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Presently a breeze dissipated the cloud, and I descended upon the glacier.",3,breeze; cloud; glacier,LANDSCAPE; WEATHER,band_3plus
s00205,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The surface is very uneven, rising like the waves of a troubled sea, descending low, and interspersed by rifts that sink deep.",2,sea; wave,LANDSCAPE; WEATHER,band_2
s00206,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The field of ice is almost a league in width, but I spent nearly two hours in crossing it.",0,,,band_0
s00207,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),The opposite mountain is a bare perpendicular rock.,1,mountain,LANDSCAPE,band_1
s00208,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"From the side where I now stood Montanvert was exactly opposite, at the distance of a league; and above it rose Mont Blanc, in awful majesty.",0,,,band_0
s00209,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I remained in a recess of the rock, gazing on this wonderful and stupendous scene.",1,recess,LANDSCAPE,band_1
s00210,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The sea, or rather the vast river of ice, wound among its dependent mountains, whose aerial summits hung over its recesses.",4,mountain; recess; river; sea,LANDSCAPE,band_3plus
s00211,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Their icy and glittering peaks shone in the sunlight over the clouds.,1,cloud,WEATHER,band_1
s00212,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"My heart, which was before sorrowful, now swelled with something like joy; I exclaimed, “Wandering spirits, if indeed ye wander, and do not rest in your narrow beds, allow me this faint happiness, or take me, as your companion, away from the joys of life.”",1,bed,LANDSCAPE,band_1
s00213,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"As I said this I suddenly beheld the figure of a man, at some distance, advancing towards me with superhuman speed.",0,,,band_0
s00214,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"He bounded over the crevices in the ice, among which I had walked with caution; his stature, also, as he approached, seemed to exceed that of man.",0,,,band_0
s00215,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I was troubled; a mist came over my eyes, and I felt a faintness seize me, but I was quickly restored by the cold gale of the mountains.",2,gale; mountain,LANDSCAPE; WEATHER,band_2
s00216,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I perceived, as the shape came nearer (sight tremendous and abhorred!)",0,,,band_0
s00217,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),that it was the wretch whom I had created.,0,,,band_0
s00218,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I trembled with rage and horror, resolving to wait his approach and then close with him in mortal combat.",0,,,band_0
s00219,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"He approached; his countenance bespoke bitter anguish, combined with disdain and malignity, while its unearthly ugliness rendered it almost too horrible for human eyes.",0,,,band_0
s00220,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"But I scarcely observed this; rage and hatred had at first deprived me of utterance, and I recovered only to overwhelm him with words expressive of furious detestation and contempt.",0,,,band_0
s00221,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"“Devil,” I exclaimed, “do you dare approach me?",0,,,band_0
s00222,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),And do not you fear the fierce vengeance of my arm wreaked on your miserable head?,0,,,band_0
s00223,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Begone, vile insect!",1,insect,FAUNA,band_1
s00224,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Or rather, stay, that I may trample you to dust!",0,,,band_0
s00225,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"That I could, with the extinction of your miserable existence, restore those victims whom you have so diabolically murdered!”",0,,,band_0
s00226,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"“I expected this reception,” said the dæmon.",0,,,band_0
s00227,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"“All men hate the wretched; how, then, must I be hated, who am miserable beyond all living things!",0,,,band_0
s00228,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Yet you, my creator, detest and spurn me, thy creature, to whom thou art bound by ties only dissoluble by the annihilation of one of us.",1,creature,FAUNA,band_1
s00229,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),You purpose to kill me.,0,,,band_0
s00230,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),How dare you sport thus with life?,0,,,band_0
s00231,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Do your duty towards me, and I will do mine towards you and the rest of mankind.",0,,,band_0
s00232,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If you will comply with my conditions, I will leave them and you at peace; but if you refuse, I will glut the maw of death, until it be satiated with the blood of your remaining friends.”",0,,,band_0
s00233,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Fiend that thou art!,0,,,band_0
s00234,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),The tortures of hell are too mild a vengeance for thy crimes.,0,,,band_0
s00235,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You reproach me with your creation, come on, then, that I may extinguish the spark which I so negligently bestowed.”",0,,,band_0
s00236,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"My rage was without bounds; I sprang on him, impelled by all the feelings which can arm one being against the existence of another.",0,,,band_0
s00237,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"He easily eluded me and said, “Be calm!",0,,,band_0
s00238,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),I entreat you to hear me before you give vent to your hatred on my devoted head.,0,,,band_0
s00239,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Have I not suffered enough, that you seek to increase my misery?",0,,,band_0
s00240,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Life, although it may only be an accumulation of anguish, is dear to me, and I will defend it.",0,,,band_0
s00241,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Remember, thou hast made me more powerful than thyself; my height is superior to thine, my joints more supple.",0,,,band_0
s00242,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),But I will not be tempted to set myself in opposition to thee.,0,,,band_0
s00243,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me.",1,creature,FAUNA,band_1
s00244,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Oh, Frankenstein, be not equitable to every other and trample upon me alone, to whom thy justice, and even thy clemency and affection, is most due.",1,clemency,WEATHER,band_1
s00245,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Remember that I am thy creature; I ought to be thy Adam, but I am rather the fallen angel, whom thou drivest from joy for no misdeed.",1,creature,FAUNA,band_1
s00246,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Everywhere I see bliss, from which I alone am irrevocably excluded.",0,,,band_0
s00247,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),I was benevolent and good; misery made me a fiend.,0,,,band_0
s00248,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Make me happy, and I shall again be virtuous.”",0,,,band_0
s00249,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),I will not hear you.,0,,,band_0
s00250,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),There can be no community between you and me; we are enemies.,0,,,band_0
s00251,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Begone, or let us try our strength in a fight, in which one must fall.”",0,,,band_0
s00252,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),“How can I move thee?,0,,,band_0
s00253,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Will no entreaties cause thee to turn a favourable eye upon thy creature, who implores thy goodness and compassion?",1,creature,FAUNA,band_1
s00254,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Believe me, Frankenstein, I was benevolent; my soul glowed with love and humanity; but am I not alone, miserably alone?",1,humanity,FAUNA,band_1
s00255,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You, my creator, abhor me; what hope can I gather from your fellow creatures, who owe me nothing?",1,creature,FAUNA,band_1
s00256,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),They spurn and hate me.,0,,,band_0
s00257,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),The desert mountains and dreary glaciers are my refuge.,2,glacier; mountain,LANDSCAPE,band_2
s00258,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge.",1,cave,LANDSCAPE,band_1
s00259,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"These bleak skies I hail, for they are kinder to me than your fellow beings.",0,,,band_0
s00260,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"If the multitude of mankind knew of my existence, they would do as you do, and arm themselves for my destruction.",0,,,band_0
s00261,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Shall I not then hate them who abhor me?,0,,,band_0
s00262,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),I will keep no terms with my enemies.,0,,,band_0
s00263,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I am miserable, and they shall share my wretchedness.",0,,,band_0
s00264,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Yet it is in your power to recompense me, and deliver them from an evil which it only remains for you to make so great, that not only you and your family, but thousands of others, shall be swallowed up in the whirlwinds of its rage.",1,whirlwind,WEATHER,band_1
s00265,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Let your compassion be moved, and do not disdain me.",0,,,band_0
s00266,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Listen to my tale; when you have heard that, abandon or commiserate me, as you shall judge that I deserve.",0,,,band_0
s00267,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),But hear me.,0,,,band_0
s00268,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The guilty are allowed, by human laws, bloody as they are, to speak in their own defence before they are condemned.",0,,,band_0
s00269,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Listen to me, Frankenstein.",0,,,band_0
s00270,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"You accuse me of murder, and yet you would, with a satisfied conscience, destroy your own creature.",1,creature,FAUNA,band_1
s00271,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Oh, praise the eternal justice of man!",0,,,band_0
s00272,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Yet I ask you not to spare me; listen to me, and then, if you can, and if you will, destroy the work of your hands.”",0,,,band_0
s00273,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"“Why do you call to my remembrance,” I rejoined, “circumstances of which I shudder to reflect, that I have been the miserable origin and author?",0,,,band_0
s00274,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Cursed be the day, abhorred devil, in which you first saw light!",0,,,band_0
s00275,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Cursed (although I curse myself) be the hands that formed you!,0,,,band_0
s00276,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),You have made me wretched beyond expression.,0,,,band_0
s00277,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),You have left me no power to consider whether I am just to you or not.,0,,,band_0
s00278,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Relieve me from the sight of your detested form.”,0,,,band_0
s00279,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"“Thus I relieve thee, my creator,” he said, and placed his hated hands before my eyes, which I flung from me with violence; “thus I take from thee a sight which you abhor.",0,,,band_0
s00280,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),Still thou canst listen to me and grant me thy compassion.,0,,,band_0
s00281,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"By the virtues that I once possessed, I demand this from you.",0,,,band_0
s00282,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"Hear my tale; it is long and strange, and the temperature of this place is not fitting to your fine sensations; come to the hut upon the mountain.",1,mountain,LANDSCAPE,band_1
s00283,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The sun is yet high in the heavens; before it descends to hide itself behind your snowy precipices and illuminate another world, you will have heard my story and can decide.",2,precipice; sun,LANDSCAPE; WEATHER,band_2
s00284,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"On you it rests, whether I quit for ever the neighbourhood of man and lead a harmless life, or become the scourge of your fellow creatures and the author of your own speedy ruin.”",1,creature,FAUNA,band_1
s00285,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),As he said this he led the way across the ice; I followed.,0,,,band_0
s00286,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"My heart was full, and I did not answer him, but as I proceeded, I weighed the various arguments that he had used and determined at least to listen to his tale.",0,,,band_0
s00287,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I was partly urged by curiosity, and compassion confirmed my resolution.",0,,,band_0
s00288,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"I had hitherto supposed him to be the murderer of my brother, and I eagerly sought a confirmation or denial of this opinion.",0,,,band_0
s00289,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"For the first time, also, I felt what the duties of a creator towards his creature were, and that I ought to render him happy before I complained of his wickedness.",1,creature,FAUNA,band_1
s00290,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),These motives urged me to comply with his demand.,0,,,band_0
s00291,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"We crossed the ice, therefore, and ascended the opposite rock.",0,,,band_0
s00292,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"The air was cold, and the rain again began to descend; we entered the hut, the fiend with an air of exultation, I with a heavy heart and depressed spirits.",3,air; rain,WEATHER,band_3plus
s00293,Mary Shelley,Frankenstein - Chapter 10 (Mont Blanc / glacier scene),"But I consented to listen, and seating myself by the fire which my odious companion had lighted, he thus began his tale.",0,,,band_0
s00294,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.,0,,,band_0
s00295,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.",0,,,band_0
s00296,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.",1,breeze,WEATHER,band_1
s00297,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Do you understand this feeling?,0,,,band_0
s00298,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.",1,breeze,WEATHER,band_1
s00299,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Inspirited by this wind of promise, my daydreams become more fervent and vivid.",1,wind,WEATHER,band_1
s00300,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.,1,frost,WEATHER,band_1
s00301,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.",1,sun,WEATHER,band_1
s00302,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"There—for with your leave, my sister, I will put some trust in preceding navigators—there snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.",3,frost; sea; snow,LANDSCAPE; WEATHER,band_3plus
s00303,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.",1,heavenly body,WEATHER,band_1
s00304,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),What may not be expected in a country of eternal light?,0,,,band_0
s00305,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever.,0,,,band_0
s00306,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.",0,,,band_0
s00307,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.",2,mate; river,FAUNA; FLORA; LANDSCAPE,band_2
s00308,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine.",0,,,band_0
s00309,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purpose—a point on which the soul may fix its intellectual eye.",1,point,LANDSCAPE,band_1
s00310,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),This expedition has been the favourite dream of my early years.,0,,,band_0
s00311,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.,2,ocean; sea,LANDSCAPE,band_2
s00312,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas’ library.,0,,,band_0
s00313,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"My education was neglected, yet I was passionately fond of reading.",0,,,band_0
s00314,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my father’s dying injunction had forbidden my uncle to allow me to embark in a seafaring life.",0,,,band_0
s00315,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven.",0,,,band_0
s00316,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,1,homer,FAUNA,band_1
s00317,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),You are well acquainted with my failure and how heavily I bore the disappointment.,0,,,band_0
s00318,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent.",2,bent; channel,FLORA; LANDSCAPE,band_2
s00319,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Six years have passed since I resolved on my present undertaking.,0,,,band_0
s00320,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I can, even now, remember the hour from which I dedicated myself to this great enterprise.",0,,,band_0
s00321,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I commenced by inuring my body to hardship.,0,,,band_0
s00322,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage.",4,branch; fisher; sea; whale,FAUNA; LANDSCAPE,band_3plus
s00323,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.",1,mate,FAUNA; FLORA,band_1
s00324,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services.",0,,,band_0
s00325,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"And now, dear Margaret, do I not deserve to accomplish some great purpose?",0,,,band_0
s00326,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path.",0,,,band_0
s00327,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Oh, that some encouraging voice would answer in the affirmative!",0,,,band_0
s00328,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed.",0,,,band_0
s00329,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I am about to proceed on a long and difficult voyage, the emergencies of which will demand all my fortitude: I am required not only to raise the spirits of others, but sometimes to sustain my own, when theirs are failing.",0,,,band_0
s00330,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),This is the most favourable period for travelling in Russia.,0,,,band_0
s00331,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.",1,snow,WEATHER,band_1
s00332,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"The cold is not excessive, if you are wrapped in furs—a dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.",1,vein,LANDSCAPE,band_1
s00333,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I have no ambition to lose my life on the post-road between St. Petersburgh and Archangel.,1,archangel,FLORA,band_1
s00334,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing.",1,whale,FAUNA,band_1
s00335,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I do not intend to sail until the month of June; and when shall I return?,0,,,band_0
s00336,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Ah, dear sister, how can I answer this question?",0,,,band_0
s00337,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"If I succeed, many, many months, perhaps years, will pass before you and I may meet.",0,,,band_0
s00338,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"If I fail, you will see me again soon, or never.",0,,,band_0
s00339,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Farewell, my dear, excellent Margaret.",0,,,band_0
s00340,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Heaven shower down blessings on you, and save me, that I may again and again testify my gratitude for all your love and kindness.",0,,,band_0
s00341,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"Your affectionate brother, R. Walton Archangel, 28th March, 17—. How slowly the time passes here, encompassed as I am by frost and snow!",3,archangel; frost; snow,FLORA; WEATHER,band_3plus
s00342,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),Yet a second step is taken towards my enterprise.,0,,,band_0
s00343,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),I have hired a vessel and am occupied in collecting my sailors; those whom I have already engaged appear to be men on whom I can depend and are certainly possessed of dauntless courage.,0,,,band_0
s00344,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"But I have one want which I have never yet been able to satisfy, and the absence of the object of which I now feel as a most severe evil, I have no friend, Margaret: when I am glowing with the enthusiasm of success, there will be none to participate my joy; if I am assailed by disappointment, no one will endeavour to sustain me in dejection.",0,,,band_0
s00345,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I shall commit my thoughts to paper, it is true; but that is a poor medium for the communication of feeling.",0,,,band_0
s00346,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"I desire the company of a man who could sympathise with me, whose eyes would reply to mine.",0,,,band_0
s00347,Mary Shelley,Frankenstein - Letters 1-4 (Arctic frame),"You may deem me romantic, my dear sister, but I bitterly feel the want of a friend.",0,,,band_0
